Function,Counter,Kernel
DatetimeIndex,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
compile,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
int,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
bool,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
search,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
checkYear,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
contains,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
clean_pdf_files,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
merge,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
Path,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
glob,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
strip,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
encode,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
index,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
model,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
convert_ids_to_tokens,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
TfidfVectorizer,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
fit_transform,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
transform,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
cosine_similarity,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
copy,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
any,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
isdigit,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
calc_simlarity_score,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
retrieve_paper,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
iterrows,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
zip,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
ratio,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
col_fill,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
join,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
next,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
append,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
sort,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
log2,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
len,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
load,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
set,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
term_frequency,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
open,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
lower,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
nlp_spacy,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
update,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
fromkeys,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
listdir,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
prep_doc_spacy,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
sorted_frequencies,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
gen_corpus_frequencies,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
tfidf,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\wehall\cord-19\cord-19-utf8.py
fit,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
predict,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
accuracy_score,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
walk,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
join,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
read_csv,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
head,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
isna,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
sum,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
StandardScaler,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
fit_transform,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
train_test_split,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
RandomForestClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
XGBClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\aniketwattamwar\prediction-using-multiple-models\prediction-using-multiple-models-utf8.py
show,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
score,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
train_test_split,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
RandomForestClassifier,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
fit,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
copy,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
heatmap,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
axis,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
figure,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
SMOTE,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
fit_resample,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
GridSearchCV,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
str,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
ylabel,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
Series,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
subplots,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
enumerate,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
set_title,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
upper,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
DataFrame,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
linspace,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
text,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
predict,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
mean,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
confusion_matrix,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
xlabel,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
classification_report,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
walk,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
join,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
filterwarnings,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
read_csv,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
head,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
isnull,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
sum,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
isin,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
describe,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
value_counts,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
plot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
corr,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
boxplot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
hist,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
countplot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
sort_values,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
reset_index,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
scatterplot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
zip,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
round,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
arange,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
learning_curve,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
melt,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
lineplot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
plot_roc_curve,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
plot_precision_recall_curve,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\elaynejones\e-heart-failure-prediction\e-heart-failure-prediction-utf8.py
subplot,13,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
title,13,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
show,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_title,11,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_xlabel,9,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_ylabel,9,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
head,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
median,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
histplot,7,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
countplot,7,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_xticklabels,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
violinplot,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
predict,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
confusion_matrix,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
heatmap,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
len,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
figure,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
scatterplot,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
tight_layout,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
int,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
concat,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
classification_report,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_palette,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
read_csv,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
isnull,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
sum,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
describe,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
StandardScaler,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
fit_transform,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
DataFrame,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
corr,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
FacetGrid,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
map,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
set_axis_labels,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
drop,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
train_test_split,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
dict,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
DecisionTreeClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
RandomForestClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
LogisticRegression,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
GradientBoostingClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
AdaBoostClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
XGBClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
fit,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
Series,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
nlargest,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
plot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\fabiovillagran\heart-disease-analysis-modeling\heart-disease-analysis-modeling-utf8.py
get_height,29,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
round,21,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
set_title,19,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
show,17,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
subplots,14,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
append,13,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
set_xlabel,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
set_ylabel,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
text,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
get_x,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
str,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
accuracy_score,12,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
plot,10,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
predict,10,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
xlabel,9,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
ylabel,9,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
histplot,7,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
heatmap,7,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
title,7,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
zeros,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
range,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
fit,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
confusion_matrix,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
