ref,deadline,category,reward,teamCount,userHasEntered,No competitions found
wise-2014,2014-07-15 23:59:00,Research,$680,120.0,False,
kdd-cup-2014-predicting-excitement-at-donors-choose,2014-07-15 23:59:00,Research,"$2,000",472.0,False,
acquire-valued-shoppers-challenge,2014-07-14 23:59:00,Featured,"$30,000",949.0,False,
risky-business,2014-06-04 23:59:00,Masters,"$100,000",44.0,False,
allstate-purchase-prediction-challenge,2014-05-19 23:59:00,Featured,"$50,000",1566.0,False,
connectomics,2014-05-05 23:59:00,Research,"$3,000",143.0,False,
the-analytics-edge-mit-15-071x,2014-05-05 23:59:00,Playground,Knowledge,1684.0,False,
walmart-recruiting-store-sales-forecasting,2014-05-05 23:59:00,Recruitment,Jobs,688.0,False,
lshtc,2014-04-22 23:59:00,Research,Swag,119.0,False,
march-machine-learning-mania-2014,2014-04-08 23:59:00,Featured,"$15,000",248.0,False,
galaxy-zoo-the-galaxy-challenge,2014-04-04 23:59:00,Research,"$16,000",326.0,False,
random-number-grand-challenge,2014-04-01 23:59:00,Featured,"$1,000",205.0,False,
pakdd-cup-2014,2014-04-01 04:00:00,Research,"$8,500",607.0,False,
loan-default-prediction,2014-03-14 23:59:00,Research,"$10,000",672.0,False,
genentech-flu-forecasting,2014-03-03 23:59:00,Masters,"$125,000",50.0,False,
conway-s-reverse-game-of-life,2014-03-02 23:59:00,Playground,Swag,141.0,False,
dogs-vs-cats,2014-02-01 23:59:00,Playground,Swag,213.0,False,
packing-santas-sleigh,2014-01-26 23:59:00,Featured,"$10,000",361.0,False,
yandex-personalized-web-search-challenge,2014-01-10 23:59:00,Featured,"$9,000",194.0,False,
deloitte-churn-prediction,2013-12-21 23:59:00,Masters,"$70,000",37.0,False,
facebook-recruiting-iii-keyword-extraction,2013-12-20 23:59:00,Recruitment,Jobs,366.0,False,
crowdflower-weather-twitter,2013-12-01 23:59:00,Playground,$500,258.0,False,
see-click-predict-fix,2013-11-27 23:59:00,Featured,"$4,000",530.0,False,
multilabel-bird-species-classification-nips2013,2013-11-24 23:59:00,Research,Knowledge,32.0,False,
accelerometer-biometric-competition,2013-11-22 23:59:00,Research,"$5,000",630.0,False,
ams-2014-solar-energy-prediction-contest,2013-11-15 23:59:00,Research,"$1,000",160.0,False,
boston-data-festival-hackathon,2013-11-10 22:59:00,Playground,"$1,000",21.0,False,
expedia-personalized-sort,2013-11-04 23:59:00,Featured,"$25,000",336.0,False,
stumbleupon,2013-10-31 23:59:59,Featured,"$5,000",624.0,False,
belkin-energy-disaggregation-competition,2013-10-30 23:59:00,Featured,"$25,000",165.0,False,
battlefin-s-big-data-combine-forecasting-challenge,2013-10-01 23:59:00,Research,"$18,500",424.0,False,
the-seeclickfix-311-challenge,2013-09-29 01:00:00,Featured,"$1,000",80.0,False,
cause-effect-pairs,2013-09-02 23:59:00,Research,"$10,000",266.0,False,
yelp-recsys-2013,2013-08-31 23:59:59,Research,$500,158.0,False,
multi-modal-gesture-recognition,2013-08-25 23:59:00,Research,"$10,000",53.0,False,
mlsp-2013-birds,2013-08-19 23:59:59,Research,"$1,800",79.0,False,
mastercard-data-cleansing-competition-finals,2013-08-07 23:59:00,Masters,"$100,000",6.0,False,
amazon-employee-access-challenge,2013-07-31 23:59:00,Featured,"$5,000",1686.0,False,
yelp-recruiting,2013-06-30 23:59:00,Recruitment,Jobs,350.0,False,
kdd-cup-2013-author-paper-identification-challenge,2013-06-26 23:59:00,Featured,"$7,500",552.0,False,
the-icml-2013-whale-challenge-right-whale-redux,2013-06-17 23:59:59,Research,$500,129.0,False,
the-icml-2013-bird-challenge,2013-06-17 23:59:59,Research,$500,76.0,False,
kdd-cup-2013-author-disambiguation,2013-06-12 23:59:00,Featured,"$7,500",237.0,False,
challenges-in-representation-learning-facial-expression-recognition-challenge,2013-05-24 23:59:00,Research,$500,56.0,False,
challenges-in-representation-learning-the-black-box-learning-challenge,2013-05-24 23:59:00,Research,$500,211.0,False,
challenges-in-representation-learning-multi-modal-learning,2013-05-24 23:59:00,Research,$500,24.0,False,
hack-reduce-dunnhumby-hackathon,2013-05-11 23:00:00,Featured,"$5,000",108.0,False,
icdar2013-stroke-recovery-from-offline-data,2013-04-20 23:59:00,Research,"$1,000",40.0,False,
bluebook-for-bulldozers,2013-04-17 23:59:00,Featured,"$10,000",474.0,False,
icdar2013-gender-prediction-from-handwriting,2013-04-15 00:00:00,Research,"$1,000",189.0,False,
predict-who-is-more-influential-in-a-social-network,2013-04-14 12:00:00,Featured,"$2,350",132.0,False,
whale-detection-challenge,2013-04-08 00:00:00,Featured,"$10,000",245.0,False,
hhp,2013-04-04 07:00:00,Featured,"$500,000",1350.0,False,
job-salary-prediction,2013-04-03 23:59:00,Featured,"$6,000",289.0,False,
predicting-parkinson-s-disease-progression-with-smartphone-data,2013-03-27 03:59:00,Research,"$10,000",0.0,False,
just-the-basics-the-after-party,2013-03-01 01:00:00,Getting Started,Knowledge,48.0,False,
just-the-basics-strata-2013,2013-02-26 20:30:00,Getting Started,Knowledge,49.0,False,
event-recommendation-engine-challenge,2013-02-20 23:59:00,Featured,"$5,000",223.0,False,
leapfrogging-leaderboards,2013-02-08 00:00:00,Research,$900,0.0,False,
RxVolumePrediction,2013-02-04 00:00:00,Masters,USD,12.0,False,
visualize-the-state-of-education-in-colorado,2013-01-20 07:59:00,Research,"$5,000",0.0,False,
traveling-santa-problem,2013-01-19 00:00:00,Featured,"$3,000",353.0,False,
DarkWorlds,2012-12-16 23:59:00,Recruitment,"$20,000",351.0,False,
customer-retention,2012-12-12 00:00:00,Masters,USD,12.0,False,
facebook-ii,2012-11-21 23:59:00,Recruitment,Jobs,111.0,False,
us-census-challenge,2012-11-11 00:00:00,Featured,"$25,000",243.0,False,
predict-closed-questions-on-stack-overflow,2012-11-03 23:59:00,Featured,"$20,000",161.0,False,
global-energy-forecasting-competition-2012-load-forecasting,2012-10-31 00:00:00,Research,"$7,500",103.0,False,
GEF2012-wind-forecasting,2012-10-31 00:00:00,Research,"$7,500",133.0,False,
MerckActivity,2012-10-16 23:59:00,Featured,"$40,000",236.0,False,
acm-sf-chapter-hackathon-big,2012-09-30 01:00:00,Research,"$1,000",24.0,False,
acm-sf-chapter-hackathon-small,2012-09-30 01:00:00,Research,$600,96.0,False,
cprod1,2012-09-24 23:59:00,Research,"$10,000",29.0,False,
detecting-insults-in-social-commentary,2012-09-21 23:59:00,Recruitment,"$10,000",50.0,False,
Raising-Money-to-Fund-an-Organizational-Mission,2012-09-18 23:59:00,Featured,"$10,000",27.0,False,
GestureChallenge2,2012-09-11 23:59:00,Research,"$10,000",30.0,False,
pf2012-diabetes,2012-09-10 23:59:59,Research,"$10,000",145.0,False,
emc-data-science,2012-09-01 23:59:00,Research,"$10,000",86.0,False,
msdchallenge,2012-08-09 23:59:59,Research,Kudos,150.0,False,
MusicHackathon,2012-07-22 12:00:00,Featured,"$10,000",133.0,False,
FacebookRecruiting,2012-07-10 23:59:59,Recruitment,Jobs,418.0,False,
online-sales,2012-07-03 23:59:00,Featured,"$22,500",363.0,False,
twitter-psychopathy-prediction,2012-06-29 23:59:59,Research,"$1,000",111.0,False,
twitter-personality-prediction,2012-06-29 23:59:59,Research,$500,89.0,False,
bioresponse,2012-06-15 23:59:59,Featured,"$20,000",698.0,False,
kddcup2012-track1,2012-06-01 23:59:59,Featured,"$8,000",656.0,False,
kddcup2012-track2,2012-06-01 23:59:59,Featured,"$8,000",163.0,False,
asap-aes,2012-04-30 23:59:59,Featured,"$100,000",153.0,False,
benchmark-bond-trade-price-challenge,2012-04-30 23:59:59,Featured,"$17,500",263.0,False,
dsg-hackathon,2012-04-29 12:00:00,Featured,"$7,030",110.0,False,
awic2012,2012-04-15 23:59:59,Research,"$1,000",42.0,False,
emvic,2012-04-15 23:59:00,Research,Kudos,46.0,False,
GestureChallenge,2012-04-10 23:59:59,Featured,"$10,000",47.0,False,
WhatDoYouKnow,2012-02-29 23:59:59,Featured,"$5,000",238.0,False,
getting-started,2012-02-26 00:00:00,Featured,"$10,000",0.0,False,
AlgorithmicTradingChallenge,2012-01-08 23:59:59,Featured,"$10,000",111.0,False,
DontGetKicked,2012-01-05 23:59:59,Featured,"$10,000",570.0,False,
GiveMeSomeCredit,2011-12-15 23:59:59,Featured,"$5,000",924.0,False,
PhotoQualityPrediction,2011-11-20 23:59:59,Featured,"$5,000",200.0,False,
SemiSupervisedFeatureLearning,2011-10-17 23:59:59,Featured,$500,26.0,False,
ClaimPredictionChallenge,2011-10-12 23:59:59,Featured,"$10,000",102.0,False,
dunnhumbychallenge,2011-09-30 23:59:59,Featured,"$10,000",276.0,False,
wikichallenge,2011-09-20 23:59:59,Featured,"$10,000",90.0,False,
mdm,2011-08-18 00:00:00,Featured,"$3,000",70.0,False,
overfitting,2011-05-15 00:00:00,Featured,$500,259.0,False,
ChessRatings2,2011-05-04 15:00:00,Featured,"$10,000",181.0,False,
WIC2011,2011-04-10 12:00:00,Featured,"$1,000",30.0,False,
stayalert,2011-03-09 13:00:00,Featured,$950,176.0,False,
unimelb,2011-02-20 22:00:00,Featured,"$5,000",203.0,False,
RTA,2011-02-13 22:00:00,Featured,"$10,000",354.0,False,
R,2011-02-08 09:00:00,Featured,$150,57.0,False,
socialNetwork,2011-01-11 22:00:00,Featured,$950,117.0,False,
tourism2,2010-11-21 23:00:00,Featured,$500,42.0,False,
chess,2010-11-17 20:00:00,Featured,$617,252.0,False,
informs2010,2010-10-10 02:28:00,Featured,$0,145.0,False,
tourism1,2010-09-19 23:00:00,Featured,$500,55.0,False,
hivprogression,2010-08-02 12:32:00,Featured,$500,107.0,False,
worldcup2010,2010-06-11 13:29:00,Featured,$100,0.0,False,
worldcupconf,2010-06-11 13:28:00,Featured,$100,63.0,False,
Eurovision2010,2010-05-25 18:00:00,Featured,"$1,000",22.0,False,
